n,preco,area,dist,coef_ap,acl_decl,frente
1,25000,359.87,200,1.50,0.75,19
2,45000,353.12,500,3,1,12.18
3,45000,341.89,40,1.50,1,14.98
4,20000,435.99,200,1.50,0.75,12.18
5,25000,341.77,500,1.50,0.75,12.93
6,20000,366.22,500,1.50,0.75,15
7,30000,300.69,200,1.50,1,17
8,25000,470.98,200,1.50,0.80,11.89
9,40000,373.13,500,1.50,1,12.82
10,50000,343.12,500,3,1,11.87
11,50000,361.56,500,1.50,1,39.27
12,55000,538.32,500,1.50,1,28.96
13,40000,470.69,500,1.50,1,44.15
14,60000,970.72,40,3,0.95,40.03
15,50000,351.31,200,1.50,1,40.82
16,70000,2057.57,40,3,1,40.10
17,40000,531.65,40,3,1,14.48
18,40000,366.49,500,1.50,0.90,15.24
19,40000,401,500,1.50,1,13.09
20,25000,356.88,500,1.50,0.90,12.09
21,35000,360.45,200,1.50,1,12.01
22,35000,468.28,200,3,0.90,42.57
23,120000,1004.52,40,3,0.90,75.40
24,20000,315.51,200,1.50,0.75,17.16
25,30000,382.16,500,1.50,0.85,54.21
26,30000,293.22,500,1.50,0.90,36.12
27,30000,577.84,500,1.50,1,11.49
28,40000,380.42,200,1.50,1,12.19
29,30000,504.92,40,1.50,0.85,61.49
30,25000,371.89,500,1.50,0.80,39.51
31,30000,397.63,200,1.50,0.85,31.27
32,30000,354.89,200,1.50,1,12.52
33,35000,402.76,500,1.50,0.90,25.58
34,50000,405.76,40,3,1,42.33
35,50000,382.08,200,3,1,42.78
36,50000,333.64,200,3,1,36.09
37,40000,547.41,200,1.50,1,13
38,50000,561.44,40,3,1,73.11
39,30000,361.96,40,1.50,1,13.91
40,50000,385.11,200,3,1,12
41,30000,355.68,200,1.50,1,12.08
42,50000,351.25,200,3,1,12.32
43,60000,578.64,200,3,0.85,48.32
44,60000,354.46,200,3,0.90,14.50
45,50000,400.30,500,3,0.90,39.81
46,50000,503.48,200,3,1,48.36
47,30000,357.55,200,1.50,0.90,35.85
48,35000,328.33,200,3,0.85,10.01
49,50000,385.96,40,1.50,1,12.07
50,60000,369.51,200,3,0.95,10.28
51,30000,350.02,650,3,0.90,13
52,50000,380.30,500,3,1,12.74
53,20000,388.65,500,1.50,0.75,37
54,50000,715.12,200,3,1,55.88
